玫瑰,郁金香
茶叶,咖啡豆
手表,挂钟
土豆,红薯
火车,地铁
铅笔,钢笔
电影,电视剧
雨伞,雨衣
火鸡,鸭子
沙拉,凉拌菜
草莓,蓝莓
钻石,珍珠
钢铁,铝合金
笔记本,平板电脑
糖果,巧克力
出租车,公交车
草地,草坪
洗衣机,烘干机
蜜蜂,蝴蝶
太阳镜,眼镜
摄影机,摄像机
书架,衣柜
橘子,柠檬
雪糕,冰棍
游泳池,水上乐园
油画,水彩画
手套,围巾
小说,散文
纸巾,卫生纸
扫帚,拖把
电脑,平板
火箭,飞机
胡萝卜,西红柿
面包,饼干
钥匙,锁
钢琴,大提琴
蜡烛,蜡烛台
铅笔盒,文具盒
吉他,贝斯
雨靴,雨鞋
冰箱,冰柜
棒球,乒乓球
桌子,椅子
钢笔,墨水
裙子,裤子
火锅,烧烤
蘑菇,菠菜
鸡蛋,鸭蛋
马桶,洗手盆
油画,素描
帽子,围巾
鸡腿,鸭腿
笔记本,电脑
树枝,树叶
书桌,书柜
铁路,高速公路
石头,砖块
相机,摄像机
婚礼,生日
电视机,投影仪
沙发,椅子
玩具,游戏
小提琴,大提琴
梳子,镜子
手表,手机
饺子,馒头
马铃薯,红薯
厨房,卫生间
火车,飞机
游戏机,电脑
吸管,杯子
面包机,烤箱
手机,平板
耳机,扬声器
衣服,鞋子
毛巾,浴巾
橙子,柚子
蛋糕,饼干
火柴,打火机
苹果,橘子
狗,猫
太阳,月亮
山,海
书,笔
车,船
咖啡,茶
鸟,鱼
飞机,火箭
花,树
雨,雪
钱,财富
房子,公寓
电话,电视
河,湖
果汁,牛奶
玩具,游戏
蛋糕,面包
火,冰
球,球拍
篮球,足球
椅子,桌子
电脑,手机
高楼,平房
叉子,勺子
毛巾,纸巾
玻璃,铁
草,土
电,水
珠宝,首饰
衣服,鞋子
帽子,围巾
香蕉,西瓜
橙子,柚子
杯子,碟子
刀,剪刀
机器,工具
琴,吉他
医生,护士
厨房,卫生间
公园,花园
电灯,手电筒
钥匙,锁
屏幕,键盘
照片,画作
星星,流星
地球,火星
桥,隧道
彩虹,阳光
月饼,汤圆
饺子,馄饨
面包,饼干
苹果,香蕉
玉米,土豆
鸡蛋,鸭蛋
美元,欧元
红色,蓝色
停车场,停机坪
草原,沙漠
水果,蔬菜
花生,核桃
天空,地面
蜜蜂,蝴蝶
蜘蛛,蜈蚣
沙发,椅子
鲸鱼,鲨鱼
狮子,老虎
白天,黑夜
春天,秋天
早晨,晚上
早餐,午餐
棒球,篮球
钢琴,小提琴
纸飞机,纸船
小说,散文
太极,瑜伽
骑车,滑板
走路,跑步
手表,闹钟
烧烤,火锅
铁路,高速公路
雪人,雪球
科学,艺术
历史,地理
数学,化学
物理,生物
英语,法语
德语,日语
俄语,西班牙语
月亮,星星
香水,香烟
铅笔,钢笔
直升机,飞机
剪刀,剃刀
电梯,楼梯
手套,围巾
台灯,台扇
橱柜,冰箱
雨伞,雨鞋
书架,书桌
铁路,火车
马,骆驼
桌子,凳子
小狗,小猫
草地,泥土
笔记本,笔袋
铅笔,橡皮
鱼,鸟
大象,狮子
草莓,蓝莓
玫瑰,郁金香
树叶,树枝
勺子,筷子
苹果,梨子
蛋糕,饼干
电脑,平板
电话,电视
衣服,鞋子
钢琴,吉他
圆形,方形
红色,绿色
夏天,冬天
刀,剪刀
棒球,足球
雨伞,雨衣
书本,报纸
火车,飞机
蜜蜂,蝴蝶
地球,火星
农夫,渔民
等号,加号
坐车,走路
火车站,机场
电话亭,公厕
月亮,太阳
冰淇淋,冰棒
手表,挂钟
早餐,晚餐
皮鞋,拖鞋
书包,背包
彩虹,雨滴
琵琶,二胡
圆珠笔,圆规
汉堡,披萨
单人床,双人床
马路,小巷
车库,车厢
剧场,电影院
雪人,雪球
蜡烛,火把
电源,电线
云彩,雾霾
双肩包,邮差包
湖水,河水
地球仪,指南针
铁门,木门
蓝天,白云
植物,动物
直线,曲线
三角形,正方形
拳击,摔跤
游泳,潜水
手机,电脑
大米,小麦
电梯,楼梯
钓鱼,捕鱼
眼睛,耳朵
椅子,沙发
垃圾桶,垃圾袋
油画,水彩画
火炉,煤气灶
玻璃杯,陶瓷杯
沙滩,海岸
电影,电视剧
望远镜,显微镜
公园,游乐场
地球,月球
货车,客车
雨伞,雨鞋
钱包,皮夹
蜘蛛,蜻蜓
鲸鱼,海豚
大树,小树
书桌,书架
键盘,鼠标
枕头,被子
直尺,量角器
铅笔,钢笔
白天,黑夜
贵宾,服务员
法官,律师
冰冷,火热
鲸鱼,蝙蝠
马戏团,马赛克
蜜蜂,蝎子
太阳,月亮
地球,火星
鸟巢,蜂巢
高尔夫,滑雪
游乐园,动物园
火焰,水波
火箭,火车
相机,望远镜
钻石,珍珠
火柴,打火机
电灯,火把
玩具熊,狐狸
雷电,风暴
手套,袜子
云朵,彩虹
火山,地震
小提琴,大提琴
铃铛,哨子
铁锅,砂锅
鸽子,信鸽
雪人,沙雕
地球,银河
粉笔,彩色笔
青蛙,蚂蚁
拍电影,拍广告
招牌,广告牌
石头,砖块
松鼠,海豚
公鸡,母鸡
树干,树枝
蜡烛,火柴
大海,湖泊
咖啡,茶叶
音乐,舞蹈
水管,电线
葡萄,橙子
火车,地铁
垃圾桶,花盆
相册,画册
音响,喇叭
沙发,椅子
吉他,小提琴
蜘蛛,蜈蚣
后院,花园
手表,闹钟
鹰,隼
羽毛球,网球
剪刀,锤子
书信,便条
地球,水星
湖泊,河流
咖啡馆,茶座
轮船,潜艇
沙滩,海滩
游泳池,潜水池
飞机,直升机
北极,南极
圆珠笔,钢笔
河马,大象
积木,拼图
种子,芽苗
衣架,挂钩
行李箱,背包
热气球,滑翔伞
宝塔,钟楼
樱桃,桃子
纸飞机,纸船
钢琴,风琴
鸽子,鹰
葡萄,苹果
高楼,低洼
蚊子,苍蝇
金鱼,锦鲤
火车,飞机
彩虹,闪电
玻璃,陶瓷
太阳,星星
棒球,篮球
松鼠,狐狸
橘子,柚子
蜘蛛,蜜蜂
蜻蜓,蝴蝶
小河,小溪
太阳,月亮
咖啡,可乐
咖喱,辣椒酱
衣柜,书架
冰雪,火焰
火箭,导弹
玻璃,水晶
木头,石头
玩具车,模型飞机
森林,草原
听觉,视觉
小麦,玉米
家具,电器
旅行,度假
购物,兑换
司机,导游
大海,湖泊
童话,神话
草原,戈壁
台灯,台风
毛巾,浴巾
天空,地面
香蕉,橙子
秋天,春天
冷饮,热饮
骑车,滑板
盘子,碗筷
煤炭,石油
大学,学院
灯塔,灯笼
海岸,岛屿
山脉,高原
羽毛,毛毯
钻石,翡翠
雨伞,雨鞋
国王,皇后
沙漠,沼泽
火锅,烧烤
公路,铁路
装饰,摆设
抽象,具象
学校,幼儿园
电梯,扶梯
长袍,短裙
星期,月份
教堂,寺庙
北极,赤道
煤气,液气
水果,蔬菜
姜,蒜
书包,背包
灯光,灯影
短信,来电
彩虹,霓虹
玉米,红薯
楼梯,楼道
甜点,主菜
短片,纪录片
哭笑,喜怒
绳索,绳索
桃子,杏子
天堂,地狱
针线,针线包
热情,冷漠
头发,胡须
回忆,憧憬
沉默,喧闹
橡胶,塑料
高山,深谷
蜡烛,香薰
卧室,客厅
红酒,白酒
骆驼,驴
泳池,水池
筷子,勺子
玉米,高梁
合唱,独唱
家庭,家族
春联,对联
黄昏,黎明
毛笔,钢笔
红豆,绿豆
爸爸,妈妈
煎饼,饼干
冰箱,冰柜
风筝,风车
彩虹,彗星
天空,星空
奶茶,果汁
爬山,滑雪
游泳,潜水
森林,丛林
裤子,裙子
手机,平板
电视,电脑
小说,散文
茶叶,咖啡豆
草地,沙滩
雪人,雪橇
学校,公司
咖啡,巧克力
钢琴,小提琴
绿茶,红茶
桌子,椅子
月亮,地球
太阳,星星
书籍,报纸
苹果,梨子
桃子,樱桃
橙子,柠檬
草莓,蓝莓
冰淇淋,冰棍
玫瑰,菊花
卡车,自行车
电梯,楼梯
桥梁,隧道
电灯,台灯
红酒,白酒
白天,黑夜
午餐,晚餐
手表,闹钟
皮鞋,运动鞋
菠萝,西瓜
丝袜,袜子
冰箱,冰柜
铁路,高速公路
小狗,小猫
铅笔,钢笔
玩具,玩偶
鲸鱼,海豚
蜂蜜,蜂窝
金鱼,锦鲤
蜡烛,火把
钥匙,锁匙
雨伞,雨衣
百合,玫瑰
橡皮,削笔刀
鸟巢,蚁巢
筷子,勺子
地球,火星
香蕉,芒果
飞机,直升机
雨滴,露珠
书包,背包
风筝,风车
大象,狮子
剪刀,指甲刀
玉米,高粱
油画,水彩
大米,小米
蛋糕,饼干
粉笔,彩色笔
波浪,涟漪
蚊子,苍蝇
钢琴,吉他
手机,电视
珍珠,珊瑚
蜘蛛,蚂蚁
鞋子,袜子
雪花,冰晶
枫叶,柳叶
书本,笔记本
龙虾,螃蟹
春天,秋天
婚礼,葬礼
鹅卵石,石榴石
龙船,帆船
铃铛,响铃
山峰,山谷
青蛙,蟾蜍